Name,Class,Race 3 - Qualifying,Race 3 - Pre-final,Race 3 - Final,Race 3 - Fastest Lap,Race 4 - Qualifying,Race 4 - Pre-final,Race 4 - Final,Race 4 - Fastest Lap
Sydney Cassels,Tag Junior,1,6,1,1,1,1,1,1
Devon Radosevich,Tag Junior,2,2,4,,3,2,2,
Jamel Abougoush,Tag Junior,3,1,2,,2,3,16,
Logan McLean,Tag Junior,4,13,8,,8,7,6,
Carter Lundy,Tag Junior,5,4,3,,,,,
Theo Carpenter,Tag Junior,6,3,12,,5,5,3,
Connor Riley,Tag Junior,7,7,5,,4,4,4,
Toby Lien,Tag Junior,8,5,6,,6,15,13,
Tanner Bauman,Tag Junior,9,8,7,,7,6,7,
Charlotte Baye Pearson,Tag Junior,10,12,17,,11,8,5,
Carter McGregor,Tag Junior,11,15,9,,9,16,15,
Cole Chura,Tag Junior,12,11,10,,10,14,9,
Zachary Dickey,Tag Junior,13,10,11,,12,10,11,
Jenson McGregor,Tag Junior,14,9,16,,13,9,8,
Joey Jay,Tag Junior,15,14,15,,14,13,12,
Grayson Thorpe Doubble,Tag Junior,16,16,14,,16,12,14,
Yullia Dianova,Tag Junior,,,13,,,,,
Logan Robinson,Tag Junior,,,,,15,11,10,
,,,,,,,,,
,,,,,,,,,
Guntas Singh Sandhu,Jr 2 Briggs LO206,1,1,1,1,1,1,1,1
Zachary Dickey,Jr 2 Briggs LO206,2,2,2,,4,4,2,
Charlotte Baye-Pearson,Jr 2 Briggs LO206,3,4,3,,2,5,4,
Caylus Martin,Jr 2 Briggs LO206,4,3,4,,3,2,3,
Isaac Piper,Jr 2 Briggs LO206,5,5,5,,5,3,5,
Logan Robinson,Jr 2 Briggs LO206,,,6,,,,,
,,,,,,,,,
,,,,,,,,,
Alex Cherewky,Sr Briggs LO206,1,2,4,1,5,22,12,
William Oliver,Sr Briggs LO206,2,1,2,,4,1,2,
Ian Pirie,Sr Briggs LO206,3,3,1,,1,3,1,1
Harrison Hrynew,Sr Briggs LO206,4,7,3,,6,4,20,
Rod Matthews,Sr Briggs LO206,5,10,9,,14,8,8,
Mitchell Nursey,Sr Briggs LO206,6,19,18,,3,10,21,
Braydon Otto,Sr Briggs LO206,7,21,6,,2,2,3,
Timothy Silk,Sr Briggs LO206,8,5,8,,7,6,5,
Stefan Rzadzinski,Sr Briggs LO206,9,4,5,,10,5,4,
Doug Litherland,Sr Briggs LO206,10,6,19,,12,7,11,
Csanad Solyom,Sr Briggs LO206,11,14,13,,18,16,17,
Evan Hallam,Sr Briggs LO206,12,20,10,,11,13,9,
Peter Cheung,Sr Briggs LO206,13,8,17,,8,11,7,
Dane Mayhew,Sr Briggs LO206,14,21,7,,17,9,10,
Carter McColeman,Sr Briggs LO206,15,11,15,,13,14,19,
Ryan McMurren,Sr Briggs LO206,16,15,14,,19,18,15,
Jeremy Lamb,Sr Briggs LO206,17,18,11,,15,17,13,
Quinn Pearson,Sr Briggs LO206,18,13,21,,20,20,16,
Anastasia Petukhova,Sr Briggs LO206,19,22,12,,9,15,14,
Kristopher Hayward,Sr Briggs LO206,20,17,22,,,,,
Jer Bird,Sr Briggs LO206,21,16,16,,22,21,18,
Robbie Horvath,Sr Briggs LO206,,9,20,,16,12,6,
Richard Arder,Sr Briggs LO206,,,,,21,19,22,
,,,,,,,,,
,,,,,,,,,
Arjun Gill,TaG Cadet,1,3,4,1,1,3,2,
James Beddard,TaG Cadet,2,1,5,,3,1,1,1
Mathias Broerken,TaG Cadet,3,2,1,,2,2,3,
Brandon Ng,TaG Cadet,4,4,2,,4,4,5,
Brandon Moira,TaG Cadet,5,5,3,,5,5,4,
Elizabeth Jay,TaG Cadet,0,7,6,,6,6,7,
Alex Jay,TaG Cadet,6,6,7,,7,7,6,
,,,,,,,,,
,,,,,,,,,
Brandon Moira,Jr 1 Briggs LO206,1,1,1,1,1,1,1,1
Blake Wade,Jr 1 Briggs LO206,2,2,2,,2,3,3,
Colton Thorpe Doubble,Jr 1 Briggs LO206,,,3,,3,2,2,
,,,,,,,,,
,,,,,,,,,
Scott Hardgrove,Tag Senior,1,7,2,1,6,22,2,1
Reimo Ruscitti,Tag Senior,2,1,1,,5,2,1,
Derek Wang,Tag Senior,3,2,3,,3,1,3,
Jordan Redlin,Tag Senior,4,3,19,,1,5,21,
Dillon Ulinder,Tag Senior,5,5,27,,4,3,7,
Marco Kacic,Tag Senior,6,4,20,,23,7,5,
Ian Pirie,Tag Senior,7,26,9,,2,4,6,
William Oliver,Tag Senior,8,8,7,,8,6,4,
Kristian Dinkov,Tag Senior,9,6,4,,7,8,DQ,
Kyle Francis,Tag Senior,10,9,5,,9,9,8,
Jacob Loyer,Tag Senior,11,10,6,,14,12,11,
Sean Michell-Jones,Tag Senior,12,23,14,,15,14,20,
Tony Eyaciguroff,Tag Senior,13,27,26,,13,10,22,
Ryan Cassels,Tag Senior,14,13,21,,16,23,24,
Luka Peric,Tag Senior,15,21,24,,12,15,12,
Kyle Cassels,Tag Senior,16,24,15,,10,11,10,
Cyrus Pischke,Tag Senior,17,11,8,,11,24,9,
Calvin Rugg,Tag Senior,18,17,12,,17,25,15,
Xylus Martin,Tag Senior,19,14,11,,19,16,16,
Tyrell McGrath,Tag Senior,20,16,13,,22,18,19,
David Nykl,Tag Senior,21,0,0,,25,20,17,
Richard Carter,Tag Senior,22,18,25,,0,0,0,
Sean Lynch,Tag Senior,23,19,17,,21,26,25,
Nick Whiteley,Tag Senior,24,25,16,,2,19,14,
Chris Moyse,Tag Senior,25,20,18,,26,21,18,
Robbie Arthur,Tag Senior,26,12,10,,20,13,13,
Valentin Creusot,Tag Senior,,15,23,,18,17,23,
Leone Lofti,Tag Senior,,22,22,,0,0,0,
,,,,,,,,,
,,,,,,,,,
Tyler Dueck,Tag Masters,1,1,1,,1,1,1,1
Sam Beswick,Tag Masters,2,2,22,,5,12,22,
Christopher Chan,Tag Masters,3,6,DQ,,7,8,19,
Cameron Cassels,Tag Masters,4,3,21,,2,2,20,
Daryle Redlin,Tag Masters,5,4,4,1,4,4,3,
Alan Burnell,Tag Masters,6,5,2,,3,3,2,
Eric Gerloff,Tag Masters,7,23,3,,6,5,4,
Bryan Stauffer,Tag Masters,8,8,20,,10,7,6,
Lucas Lundy,Tag Masters,9,24,6,,11,9,21,
Gary Ochi,Tag Masters,10,7,23,,9,11,7,
Wouter Bauman,Tag Masters,11,9,8,,12,10,8,
John Almond,Tag Masters,12,14,11,,24,15,24,
Braydon Bulger,Tag Masters,13,17,9,,13,22,11,
Matthew Bahen,Tag Masters,14,21,13,,14,13,9,
Todd Martin,Tag Masters,15,11,7,,16,23,23,
Wolfgang Temmel,Tag Masters,16,13,16,,17,17,12,
Rick Payne,Tag Masters,17,10,5,,8,6,5,
Jamie Coles,Tag Masters,18,15,12,,19,24,10,
Brant Gladstone,Tag Masters,19,18,19,,20,16,13,
Ian Dianov,Tag Masters,20,19,15,,0,0,0,
Richard Sebastianelli,Tag Masters,21,20,18,,21,19,16,
David Unickow,Tag Masters,22,22,17,,23,18,15,
Helmut Buhl,Tag Masters,,12,10,,15,14,18,
Aaron Thomas,Tag Masters,,16,14,,18,20,17,
Daniel Jabillo,Tag Masters,,,,,22,21,14,
